Star_Index,RA,DEC,Offset_MCPS_APASS_4380A,Offset_MCPS_APASS_5450A,Offset_SMASH_APASS_4600A,Offset_SMASH_APASS_5600A,Offset_MCPS_SMASH_4600A,Offset_MCPS_SMASH_5600A,choose_MCPS,choose_APASS,choose_SMASH
298,15.781884,-72.210083,-0.09259589836333149,-0.025582445832389666,,,,,1,1,0
299,15.787205,-71.930763,0.07176727294170604,0.16736414697439983,,,,,1,1,0
300,15.841267,-72.84407,-0.12726170495758637,0.022861357233496804,-0.5023160975675189,,0.10571517671111863,,1,1,0
301,15.856523,-72.042595,-0.354423420926155,-0.24129753874015947,,,,,1,1,0
302,15.898766,-72.283546,-0.13508695460321007,-0.019464767085279888,,,,,1,1,0
303,15.940762,-72.818794,-0.33429060250145604,0.0028537066540490486,-0.6439670569401521,,0.12369514406877435,,1,1,0
304,15.947997,-72.071434,-0.17461636807403202,-0.1301917222986546,,,,,1,1,0
305,15.954565,-73.712296,-0.12759102005245992,0.028813471499361754,-0.6437167489222251,-0.2211191279794189,0.24204303912460112,0.2045747211667983,1,1,1
306,15.977364,-72.827797,-12.678953655900367,-12.082462118792908,-13.419855280456135,,0.829054852057995,,1,1,0
307,15.993419,-71.90551,0.01725992059924053,0.041153875052158284,,,,,1,1,0
308,15.995159,-72.385849,-0.05883502990669598,0.07832893192813906,-0.6610348316647912,,0.3871162472412344,,1,1,0
309,16.024857,-73.818291,-0.09104711700198287,0.28380198134379064,-0.2534611638270565,,0.12520744906467485,,0,1,0
310,16.029622,-72.642746,-13.392710781648871,-13.252401965342836,,,,,1,1,0
311,16.050177,-72.978088,-16.018649780451263,-14.633627183028564,-15.858305700944653,,0.09031932763633321,,1,1,0
312,16.101214,-72.178276,-15.91856540200815,-14.46865360237784,-15.759373432453126,,0.10538281483342793,,1,1,0
313,16.113623,-72.547836,-0.12424459113163877,-0.021456780144706755,,,,,1,1,0
314,16.180614,-71.649818,-0.17763213601804573,-0.01790716721712471,-0.6859453680109038,-0.12308258945645001,0.2783215919101547,0.03825855196135919,1,1,1
