RA,DEC,ebv_eden,ebv_sf,av_eden,av_sf,av_zh,av_zh_std
15.646989,-72.192581,0.03976,0.21908,0.12604,0.66161,0.28,0.29
15.658785,-72.135178,0.03971,0.33991,0.12587,1.02653,0.27,0.28
15.664665,-71.832069,0.03906,0.33921,0.12381,1.02442,0.24,0.25
15.664685,-72.301323,0.03975,0.14745,0.12602,0.44529,0.3,0.3
15.666333,-72.190926,0.03971,0.22542,0.12587,0.68076,0.28,0.29
15.705051,-72.156441,0.03959,0.29965,0.12549,0.90496,0.27,0.29
15.727274,-72.545883,0.03919,0.14337,0.12424,0.43298,0.32,0.31
15.739019,-73.128609,0.03938,0.10212,0.12483,0.3084,0.27,0.28
15.752757,-72.503365,0.03904,0.15088,0.12376,0.45566,0.33,0.32
15.771704,-72.154785,0.03944,0.31513,0.12503,0.9517,0.27,0.29
15.781884,-72.210083,0.03942,0.23049,0.12496,0.69608,0.29,0.3
15.787205,-71.930763,0.03932,0.50402,0.12464,1.52215,0.24,0.26
15.841267,-72.84407,0.03923,0.11172,0.12437,0.33738,0.26,0.27
15.856523,-72.042595,0.03929,0.63842,0.12455,1.92804,0.27,0.28
15.898766,-72.283546,0.03912,0.17426,0.12402,0.52627,0.3,0.3
15.940762,-72.818794,0.03898,0.11067,0.12356,0.33423,0.27,0.27
15.947997,-72.071434,0.03918,0.54839,0.12421,1.65615,0.27,0.29
15.954565,-73.712296,0.04005,0.0462,0.12695,0.13951,0.17,0.22
15.977364,-72.827797,0.03889,0.11328,0.12327,0.34211,0.27,0.27
15.993419,-71.90551,0.03891,0.39939,0.12334,1.20614,0.23,0.25
15.995159,-72.385849,0.03878,0.14683,0.12295,0.44343,0.31,0.3
16.024857,-73.818291,0.04051,0.04064,0.12841,0.12274,0.16,0.21
16.029622,-72.642746,0.03888,0.13086,0.12324,0.39519,0.31,0.3
16.050177,-72.978088,0.03864,0.11111,0.12248,0.33556,0.26,0.28
16.101214,-72.178276,0.03887,0.28554,0.12321,0.86234,0.28,0.29
16.113623,-72.547836,0.03858,0.13824,0.1223,0.41748,0.32,0.31
16.180614,-71.649818,0.03787,0.08953,0.12005,0.27038,0.2,0.24
16.197788,-72.044441,0.03879,0.42347,0.12296,1.27889,0.27,0.29
16.230061,-72.513527,0.03835,0.14289,0.12156,0.43152,0.32,0.3
16.24057,-72.385185,0.03843,0.14599,0.12182,0.44088,0.3,0.29
16.264754,-72.108932,0.03878,0.30146,0.12293,0.91039,0.27,0.29
16.297483,-72.724457,0.03849,0.11164,0.12201,0.33716,0.29,0.29
16.299472,-71.72628,0.03815,0.12815,0.12093,0.38701,0.2,0.24
16.382862,-72.763603,0.03824,0.11624,0.12123,0.35103,0.28,0.28
16.445653,-71.772797,0.03825,0.15014,0.12126,0.45341,0.2,0.24
16.457567,-72.369637,0.03828,0.13207,0.12134,0.39884,0.29,0.28
16.537387,-72.402466,0.03816,0.1256,0.12098,0.3793,0.29,0.28
16.553088,-72.631592,0.03815,0.14003,0.12095,0.42289,0.31,0.3
16.562863,-72.560211,0.03805,0.16037,0.12061,0.48432,0.32,0.3
16.563437,-72.591248,0.03809,0.15528,0.12073,0.46896,0.32,0.3
16.571746,-72.462975,0.03801,0.14058,0.12048,0.42455,0.3,0.29
16.671322,-72.896004,0.03742,0.10836,0.11861,0.32724,0.26,0.28
16.791081,-73.498528,0.03798,0.05785,0.1204,0.17471,0.22,0.26
16.823183,-73.22393,0.03709,0.07961,0.11756,0.24041,0.29,0.28
16.834747,-72.852707,0.03725,0.10865,0.11809,0.32812,0.27,0.28
16.846935,-72.442535,0.03793,0.10083,0.12024,0.30451,0.29,0.28
16.875432,-72.409515,0.03799,0.10107,0.12043,0.30523,0.28,0.28
16.897636,-72.276939,0.03826,0.11238,0.1213,0.3394,0.26,0.27
16.956915,-72.214272,0.03828,0.11504,0.12135,0.34741,0.25,0.26
16.976536,-72.683044,0.03765,0.1069,0.11936,0.32282,0.3,0.29
16.982439,-72.673393,0.03768,0.10965,0.11945,0.33113,0.3,0.29
17.022895,-72.14518,0.03833,0.12593,0.12151,0.38029,0.24,0.26
17.030683,-71.81395,0.03845,0.11399,0.12187,0.34424,0.22,0.25
17.048329,-72.521729,0.03773,0.10982,0.1196,0.33166,0.31,0.29
17.051814,-71.691063,0.03845,0.06289,0.12187,0.18994,0.21,0.25
17.061598,-72.624634,0.03762,0.11819,0.11926,0.35693,0.31,0.3
17.063286,-72.503166,0.03774,0.09973,0.11963,0.30119,0.3,0.29
17.121713,-72.45359,0.03779,0.0831,0.11978,0.25097,0.28,0.28
17.226705,-73.999603,0.04216,0.03849,0.13365,0.11625,0.18,0.2
17.22848,-72.414505,0.03781,0.08325,0.11984,0.25142,0.27,0.27
17.314073,-72.275597,0.03797,0.09868,0.12038,0.29802,0.26,0.27
17.321614,-71.556213,0.03817,0.03814,0.121,0.1152,0.22,0.24
17.334506,-71.411934,0.03759,0.03211,0.11916,0.09696,0.23,0.24
17.354747,-72.260063,0.03797,0.09625,0.12036,0.29067,0.26,0.27
17.629456,-73.466484,0.03653,0.05176,0.11579,0.15633,0.21,0.24
17.689535,-73.286728,0.03606,0.0798,0.1143,0.24098,0.31,0.28
