target_idx,target_ra,target_dec,n_matches_total,match_number,smash_idx,smash_ra,smash_dec,distance_arcsec,has_match
172,13.611973,-72.883247,1,1,249,13.611990209292088,-72.88329660198386,0.17949570078529364,True
173,13.620808,-72.742271,1,1,256,13.620853736821678,-72.74233953540131,0.25151641098808575,True
174,13.627097,-72.570183,1,1,265,13.62713478337381,-72.57020187673683,0.07923415792337644,True
175,13.638384,-72.180771,1,1,307,13.638458655558042,-72.1807413624865,0.13471455037657573,True
176,13.648799,-72.665016,1,1,258,13.648862083974745,-72.66502680450857,0.0780494933367837,True
177,13.653195,-72.309631,1,1,302,13.653295848896699,-72.30962616440071,0.11168790673288023,True
178,13.65933,-72.601669,2,1,259,13.659159720342354,-72.60179105080438,0.4760828574940405,True
178,13.65933,-72.601669,2,2,260,13.659378677366725,-72.6016685840466,0.05241998769808341,True
179,13.672227,-73.240891,1,1,231,13.67230789081566,-73.24094985535694,0.227911417789614,True
180,13.672755,-72.237221,1,1,306,13.672855445173903,-72.23720061720896,0.13249184978354958,True
181,13.67278,-72.486137,4,1,274,13.672877865842487,-72.48640354409598,0.9653984338985001,True
181,13.67278,-72.486137,4,2,275,13.673326524109575,-72.48634629072248,0.9582519139877959,True
181,13.67278,-72.486137,4,3,276,13.672821429342292,-72.48613753298271,0.04492436468672567,True
181,13.67278,-72.486137,4,4,277,13.672173139354642,-72.48594086378245,0.9647881348357321,True
182,13.673452,-73.128853,1,1,233,13.673444145762607,-73.12889846592684,0.16388291442766528,True
183,13.693553,-72.46489,1,1,291,13.6935549530675,-72.46488806542476,0.00727951961999376,True
184,13.699284,-71.76387,1,1,401,13.699282413847449,-71.76387982979239,0.03543233908263116,True
185,13.699347,-71.414688,1,1,434,13.699301462964765,-71.41469933488182,0.06629457554049557,True
186,13.70945,-73.0466,1,1,236,13.709461957692954,-73.04664319031781,0.15599100436344154,True
187,13.712406,-73.099899,2,1,234,13.712405929642628,-73.09994221926354,0.15558936620759758,True
187,13.712406,-73.099899,2,2,235,13.7125073592752,-73.09969115183152,0.7557350041145228,True
188,13.726891,-73.15094,1,1,232,13.726883245607931,-73.15100110343266,0.2201211239544517,True
189,13.761648,-72.768044,2,1,254,13.761721418540326,-72.76809256887648,0.1915788000440038,True
189,13.761648,-72.768044,2,2,255,13.761719184708689,-72.76787486965972,0.6135837737368527,True
190,13.767206,-72.472443,1,1,290,13.767197608673687,-72.47244872552942,0.022530441088909902,True
191,13.784495,-72.567459,2,1,267,13.783689341985555,-72.56748502817489,0.8739374489028722,True
191,13.784495,-72.567459,2,2,268,13.784515211895409,-72.56751792191535,0.21323601488572244,True
192,13.789353,-72.515457,3,1,270,13.789455252612553,-72.5154650765492,0.11435594974664928,True
192,13.789353,-72.515457,3,2,271,13.788674477665358,-72.51549011898359,0.743520760801567,True
192,13.789353,-72.515457,3,3,272,13.788922976673009,-72.51531293657087,0.6966442729314651,True
193,13.79491,-72.45266,1,1,292,13.794872970247424,-72.45267369369668,0.06360471816116338,True
194,13.802364,-72.436417,1,1,293,13.802341622487546,-72.43643642949104,0.07405020605211932,True
195,13.803228,-72.51178,1,1,273,13.80326716029851,-72.51179262735731,0.06213907162680751,True
196,13.813378,-72.33728,2,1,300,13.813452410835856,-72.33727777094902,0.08167318916159823,True
196,13.813378,-72.33728,2,2,301,13.814287146835964,-72.3372606595662,0.9954879004215228,True
197,13.841566,-71.789406,1,1,414,13.841543821916945,-71.78941837816251,0.051071306513875245,True
198,13.863108,-71.555687,1,1,431,13.863121599715166,-71.55569680734925,0.03855488324935836,True
199,13.865672,-72.729294,1,1,261,13.865737147490647,-72.72934413344363,0.19344605116016222,True
