target_idx,target_ra,target_dec,n_matches_total,match_number,smash_idx,smash_ra,smash_dec,distance_arcsec,has_match
200,13.869121,-72.487114,1,1,278,13.869083340953765,-72.48713435467903,0.08386805928831291,True
201,13.875625,-72.480446,1,1,279,13.875631789057884,-72.48045800834663,0.04385166073368982,True
202,13.89679,-72.545395,1,1,269,13.896817397684682,-72.54543764655276,0.15635205767490115,True
203,13.924053,-72.303223,1,1,304,13.924161641347242,-72.30320944919487,0.1285083289350085,True
204,13.948352,-72.658638,2,1,263,13.94843570430038,-72.65868795584868,0.2010221999677528,True
204,13.948352,-72.658638,2,2,264,13.949206684130871,-72.65866486063798,0.9221852904186474,True
205,13.952626,-73.043114,1,1,237,13.952650188982727,-73.04316271241788,0.17719422477711375,True
206,13.972648,-72.196625,1,1,308,13.972743997236373,-72.19661536011249,0.11121762962445014,True
207,13.995879,-71.522568,1,1,433,13.995920858679971,-71.52254884937932,0.08386853707730332,True
208,13.998293,-72.175369,1,1,309,13.998379723170551,-72.1753688898514,0.09556772084751548,True
209,14.002332,-72.83284,1,1,253,14.002297836169898,-72.83290408463716,0.2335432852492548,True
210,14.004046,-72.460983,2,1,294,14.00406836020612,-72.46113293014359,0.5402933578945652,True
210,14.004046,-72.460983,2,2,295,14.004053403826479,-72.46101421612535,0.1126647389082305,True
211,14.007276,-72.499931,1,1,281,14.007269349861225,-72.49991154114205,0.07042083375620807,True
212,14.018476,-71.629814,2,1,429,14.018158472372804,-71.62989082825139,0.45418025925790595,True
212,14.018476,-71.629814,2,2,430,14.018471935003351,-71.62979195299754,0.07950309226825567,True
213,14.029873,-72.470512,1,1,284,14.029954460008497,-72.4705080341727,0.08947412998090618,True
214,14.037303,-72.277908,1,1,305,14.037247946644275,-72.27788618033448,0.09904498757973414,True
215,14.045771,-72.44059,2,1,296,14.045833399520575,-72.44084178616745,0.908960236815181,True
215,14.045771,-72.44059,2,2,297,14.045789154424405,-72.44057497847375,0.05756002613756886,True
216,14.057666,-72.04567,1,1,403,14.05763445997288,-72.04560346583956,0.24206678627809203,True
217,14.061519,-72.42244,2,1,298,14.060723594448723,-72.42239072643201,0.8827619608283812,True
217,14.061519,-72.42244,2,2,299,14.061537827885562,-72.42242070725457,0.0724074615239721,True
218,14.087205,-72.84552,3,1,250,14.087176271914592,-72.84554949002813,0.11045952214563344,True
218,14.087205,-72.84552,3,2,251,14.086844747583143,-72.84542718785578,0.5079000523592362,True
218,14.087205,-72.84552,3,3,252,14.087621940454566,-72.84538601602902,0.654714797558483,True
