ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,f_Bmag,Vmag,e_Vmag,f_Vmag,gmag,e_gmag,f_gmag,rmag,e_rmag,f_rmag,imag,e_imag,f_imag
81.396657,-69.226074                    ,081.3966839,-69.2260842,12.310, 6,.,12.115, 6,.,12.172, 1, ,12.163, 1, ,12.198, 1,

81.405049,-66.24147                     ,081.4051277,-66.2414742,12.440,99,.,12.708,99,.,      ,  , ,      ,  , ,      ,  ,

81.516514,-67.499176                    ,081.5165162,-67.4991895,11.246, 3,.,11.423, 1,.,11.271, 1, ,11.564, 1, ,11.937, 1,

81.531756,-66.594673                    ,081.5317812,-66.5946664,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

81.608258,-66.203194                    ,081.6083033,-66.2032020,12.394, 1,.,12.077, 1,.,12.216, 1,.,12.038, 1,.,12.016, 3,.

81.621463,-69.450912                    ,081.6214103,-69.4509256,10.361, 1, , 9.944, 1, ,10.164, 1, , 9.901, 1, , 9.900, 1,

81.645346,-68.868721                    ,081.6453359,-68.8687150,10.646, 6,.,10.458, 3,.,10.507, 1, ,10.480, 1, ,      ,  ,

81.688791,-68.831322                    ,081.6888183,-68.8313364, 9.966, 8,., 9.986,13,.,      ,  , ,      ,  , ,      ,  ,

81.69618,-67.479385                     ,081.6962109,-67.4793873,11.501, 6,.,11.591, 4,.,11.503, 1, ,11.740, 1, ,11.969, 1,

81.803598,-66.050995                    ,081.8036459,-66.0509912,15.077, 2,.,13.384, 0,.,14.219, 3,.,12.871, 2,.,12.358, 2,.

81.806541,-66.273705                    ,081.8065627,-66.2736795,13.054, 1, ,12.981, 1, ,      ,  , ,      ,  , ,      ,  ,

81.939353,-68.985687,,,,,,,,,,,,,,,,,

81.94343,-65.682083                     ,081.9434365,-65.6821289,11.301, 7,.,11.232, 0,.,11.279,15,.,11.318, 2,.,11.446, 3,.

81.943503,-66.238586                    ,081.9435180,-66.2385789,10.974, 2,.,10.622, 2,.,10.821, 1, ,10.475, 1, ,10.298, 1,.

81.963349,-69.015373                    ,081.9633445,-69.0153850,10.928, 1, ,10.694, 1, ,      ,  , ,      ,  , ,      ,  ,

81.967294,-69.006363                    ,081.9672618,-69.0063942,11.392, 1, ,10.745, 1, ,      ,  , ,      ,  , ,      ,  ,

