ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag
18.40252,-72.920547                     ,018.4026424,-72.9205573,14.896, 7,13.438, 0,14.156, 1,13.010, 1,12.588, 1

18.475151,-73.397247                    ,018.4751377,-73.3972803,13.559, 1,13.071, 2,13.302, 0,13.016, 2,12.922, 0

18.47522,-72.861008                     ,018.4752577,-72.8610117,14.713, 2,13.187, 1,13.945, 4,12.727, 0,12.232, 3

18.59014,-73.212502                     ,018.5902206,-73.2125139,11.623, 0,11.523, 0,11.570, 1,11.594, 1,11.749, 2

18.616893,-72.664871                    ,018.6169371,-72.6648689,14.390, 3,13.341, 1,13.844, 3,13.053, 2,12.782, 4

18.79781,-73.142822                     ,018.7978374,-73.1428278,15.284, 6,13.729, 1,14.472, 1,13.189, 2,12.707, 3

18.852198,-73.512329                    ,018.8522142,-73.5123378,12.751, 3,12.111, 1,12.404, 0,11.966, 1,11.817, 1

19.242433,-73.71965                     ,019.2425133,-73.7196312,14.846, 8,13.914, 1,14.303, 3,13.659, 1,13.414, 2

19.61984,-72.823036                     ,019.6197674,-72.8230448,13.892, 2,13.819, 1,13.794, 1,13.933, 1,14.096, 6

19.827769,-72.804893                    ,019.8277577,-72.8049214,15.622, 1,14.393, 1,15.006, 2,13.987, 3,13.573, 0

20.027448,-71.914421                    ,020.0274971,-71.9144353,14.847, 2,13.164, 1,13.984, 3,12.601, 1,12.062, 3

20.054984,-73.284607                    ,020.0549833,-73.2845981,      ,  ,      ,  ,      ,  ,      ,  ,      ,

20.086937,-73.271645                    ,020.0869500,-73.2716431,15.078, 2,13.572, 1,14.298, 2,13.073, 3,12.592, 1

20.165176,-72.784286                    ,020.1652042,-72.7842862,15.379, 1,14.062, 1,14.703, 1,13.661, 1,13.218, 1

20.217238,-72.543243                    ,020.2173074,-72.5432484,14.630, 1,13.106, 2,13.839, 0,12.626, 2,12.149, 1

20.407462,-72.884239                    ,020.4074974,-72.8842489,15.473, 3,14.229, 1,14.832, 2,13.847, 1,13.416, 2

20.561633,-72.68409                     ,020.5618250,-72.6841037,15.283, 4,13.872, 2,14.570, 2,13.417, 2,12.978, 3

20.688973,-73.862312                    ,020.6889703,-73.8623137,13.804, 4,13.554, 1,13.645, 0,13.577, 3,13.564, 1

20.689613,-72.776115                    ,020.6896836,-72.7761131,15.450, 1,14.121, 1,14.749, 2,13.764, 0,13.353, 2

20.964646,-73.678734                    ,020.9646009,-73.6787814,15.780, 3,14.355, 1,15.004, 2,13.857, 3,13.404, 4

21.135223,-72.74614                     ,021.1352880,-72.7461100,15.540, 1,14.244, 2,14.868, 4,13.854, 0,13.407, 1

21.466391,-72.954132                    ,021.4663786,-72.9541231,15.373, 1,14.100, 1,14.717, 0,13.671, 3,13.229, 2
