# ra dec
76.149149 -68.748634
76.166276 -66.269897
76.167037 -68.949463
76.209054 -68.13121
76.217287 -69.062897
76.229829 -68.551895
76.229918 -68.967377
76.269629 -69.155647
76.304923 -68.553238
76.306234 -68.320549
76.326839 -71.446037
76.336289 -70.741852
76.341489 -67.120789
76.360553 -70.096542
76.365399 -66.6866
76.371157 -68.965065
76.418001 -69.211746
76.424819 -67.751686
76.474828 -68.180702
76.479575 -67.09848
76.492217 -70.534889
76.510781 -67.964752
76.536993 -71.25724
76.561725 -66.67942
76.568824 -68.368561
76.580081 -71.470123
76.595263 -69.819595
76.614421 -68.511215
76.614966 -68.364449
76.63928 -68.363991
76.68745 -68.346352
76.690052 -68.986404
76.693142 -69.049408
76.696338 -70.068787
76.69987 -70.037064
76.734175 -69.144493
76.75624 -69.149544
76.782532 -68.888756
76.814063 -70.200775
76.816581 -68.883507
76.828802 -68.427116
76.833749 -70.454239
76.871172 -68.311821
76.878954 -65.3396
76.916268 -67.895226
76.938948 -69.162407
76.976827 -69.458702
76.977897 -68.676727
76.998653 -66.655083
77.004271 -67.097099
77.008097 -67.0961
77.02987 -66.98938
77.072145 -68.725777
77.076109 -68.779739
77.160077 -67.785843
77.200906 -69.147507
77.242485 -68.48764
77.255533 -70.044601
77.260625 -69.034988
77.286327 -68.985405
77.333966 -70.457497
77.357488 -70.553963
77.366182 -68.85215
77.410685 -69.310379
77.412202 -71.400597
77.418324 -71.04985
77.471036 -68.927223
77.472865 -68.612206
77.493631 -72.441856
77.504119 -68.902481
77.527956 -67.315636
77.544668 -68.243187
77.579111 -65.274826
77.600401 -68.990623
77.611065 -68.17778
77.660807 -69.715027
77.770308 -70.243507
77.773078 -68.018791
77.818942 -68.392647
77.904951 -69.304825
77.921419 -68.723961
77.946825 -69.4328
77.960234 -69.351288
77.964982 -70.576408
77.965082 -69.026024
77.966916 -67.166054
78.003198 -65.34745
78.028352 -67.198875
78.072328 -67.298462
78.141871 -65.826668
78.197533 -69.23555
78.22591 -69.236984
78.285377 -70.139542
78.316665 -67.296463
78.319998 -69.556137
78.37822 -69.539902
78.390618 -66.571976
78.41177 -65.466476
78.42998 -68.964081
78.454106 -67.446625
78.462591 -69.115776
78.471043 -67.376289
78.473614 -67.063515
78.507998 -67.451942
78.518418 -67.264061
78.521958 -68.91243
78.546107 -69.543488
78.56421 -68.978951
78.578573 -67.263702
78.659609 -68.194641
78.707893 -69.661682
78.801971 -69.176445
78.870786 -66.810394
78.901303 -69.431702
78.933622 -68.991867
79.075968 -67.240059
79.170383 -69.656197
79.182754 -69.77739
79.386792 -69.752083
79.434664 -69.342567
79.554313 -69.874611
79.557173 -68.49041
79.575005 -69.76355
79.579719 -68.718452
79.593344 -69.545151
79.594847 -69.488861
79.604903 -69.686317
79.66851 -67.078117
79.712597 -72.120125
79.815808 -68.934425
79.81816 -69.655548
79.846065 -65.858719
79.857129 -68.859306
79.884499 -65.69799
79.959579 -66.133827
80.009071 -68.063393
80.009919 -69.08548
80.035374 -68.918663
80.095831 -69.038193
80.096192 -66.758095
80.105058 -69.498871
