# index ra dec
458 74.227917 -67.086021
459 74.231543 -67.486946
460 74.257486 -67.995209
461 74.284954 -67.046066
462 74.286438 -66.866669
463 74.290445 -67.022011
464 74.295525 -67.340118
465 74.320065 -68.410988
466 74.353067 -68.844727
467 74.420186 -66.786026
468 74.432613 -66.857719
469 74.434938 -69.521049
470 74.437683 -65.708374
471 74.445788 -69.215889
472 74.447295 -69.391327
473 74.467946 -69.392502
474 74.489212 -69.538612
475 74.512659 -68.906418
476 74.523225 -69.454338
477 74.527298 -67.241653
478 74.537554 -67.306412
479 74.565514 -70.532059
480 74.636575 -70.346024
481 74.668893 -70.527405
482 74.676973 -69.690598
483 74.714423 -67.052444
484 74.717101 -69.425728
485 74.834295 -68.843079
486 74.921413 -69.4561
487 74.931386 -68.523003
488 74.952992 -67.818863
489 74.964046 -70.222679
490 74.998596 -67.085793
491 75.031533 -68.449997
492 75.04305 -67.152191
493 75.133394 -67.940735
494 75.136946 -70.496994
495 75.158007 -67.764633
496 75.206093 -68.119324
497 75.206554 -68.434021
498 75.209047 -69.642174
499 75.229871 -66.637321
500 75.24744 -66.644096
501 75.255055 -66.10524
502 75.343363 -70.258026
503 75.380222 -66.954361
504 75.386393 -68.220688
505 75.461606 -69.414696
506 75.480705 -70.525101
507 75.508911 -70.1511
508 75.57528 -66.10759
509 75.744805 -65.93792
510 75.767477 -70.950439
511 75.783619 -66.230949
512 75.792006 -70.16497
513 75.849929 -68.925583
514 75.936254 -69.100464
515 75.951584 -66.133018
516 75.956276 -68.934052
517 76.021395 -69.018661
518 76.04151 -67.330482
519 76.051742 -67.416496
520 76.059927 -66.431381
521 76.064453 -69.026779
522 76.149149 -68.748634
523 76.167037 -68.949463
524 76.209054 -68.13121
525 76.217287 -69.062897
526 76.229829 -68.551895
527 76.229918 -68.967377
528 76.304923 -68.553238
529 76.336289 -70.741852
530 76.341489 -67.120789
531 76.371157 -68.965065
532 76.424819 -67.751686
533 76.474828 -68.180702
534 76.492217 -70.534889
535 76.536993 -71.25724
536 76.568824 -68.368561
537 76.580081 -71.470123
538 76.595263 -69.819595
539 76.614421 -68.511215
540 76.614966 -68.364449
541 76.63928 -68.363991
542 76.68745 -68.346352
543 76.690052 -68.986404
544 76.693142 -69.049408
545 76.69987 -70.037064
546 76.782532 -68.888756
547 76.814063 -70.200775
548 76.816581 -68.883507
549 76.828802 -68.427116
550 76.833749 -70.454239
551 76.871172 -68.311821
552 76.878954 -65.3396
553 76.938948 -69.162407
554 76.976827 -69.458702
555 76.977897 -68.676727
556 76.998653 -66.655083
557 77.004271 -67.097099
558 77.02987 -66.98938
559 77.076109 -68.779739
560 77.160077 -67.785843
561 77.242485 -68.48764
562 77.286327 -68.985405
563 77.333966 -70.457497
564 77.357488 -70.553963
565 77.366182 -68.85215
566 77.418324 -71.04985
567 77.472865 -68.612206
568 77.504119 -68.902481
569 77.527956 -67.315636
570 77.544668 -68.243187
571 77.579111 -65.274826
572 77.660807 -69.715027
573 77.770308 -70.243507
574 77.773078 -68.018791
575 77.904951 -69.304825
576 77.946825 -69.4328
577 77.960234 -69.351288
578 77.964982 -70.576408
579 77.966916 -67.166054
580 78.028352 -67.198875
581 78.141871 -65.826668
582 78.197533 -69.23555
583 78.22591 -69.236984
584 78.285377 -70.139542
585 78.316665 -67.296463
586 78.319998 -69.556137
587 78.37822 -69.539902
588 78.42998 -68.964081
589 78.454106 -67.446625
590 78.471043 -67.376289
591 78.473614 -67.063515
592 78.507998 -67.451942
593 78.518418 -67.264061
594 78.546107 -69.543488
595 78.56421 -68.978951
596 78.578573 -67.263702
597 78.870786 -66.810394
598 78.901303 -69.431702
599 78.933622 -68.991867
600 79.075968 -67.240059
601 79.170383 -69.656197
602 79.386792 -69.752083
603 79.434664 -69.342567
604 79.554313 -69.874611
605 79.557173 -68.49041
606 79.579719 -68.718452
607 79.593344 -69.545151
608 79.594847 -69.488861
609 79.604903 -69.686317
610 79.712597 -72.120125
611 79.815808 -68.934425
612 79.846065 -65.858719
613 80.009071 -68.063393
614 80.035374 -68.918663
615 80.095831 -69.038193
616 80.105058 -69.498871
617 80.180023 -69.487755
618 80.265148 -68.048332
619 80.313532 -69.444946
620 80.325135 -69.513069
621 80.325806 -66.908684
622 80.54487 -69.096001
623 80.574008 -69.353386
624 80.590077 -69.404907
625 80.629679 -65.371346
626 80.637892 -68.277718
627 80.648671 -68.899925
628 80.743821 -65.801697
629 80.802722 -68.781891
630 80.84795 -69.656616
631 80.906945 -68.777267
632 80.984144 -65.937645
633 80.987903 -69.777115
634 80.988021 -69.776245
635 81.00443 -71.160744
636 81.007614 -69.85527
637 81.067416 -69.658638
638 81.086366 -67.662697
639 81.107683 -69.514938
640 81.121322 -72.285049
641 81.135044 -68.498512
642 81.156232 -69.532639
643 81.184848 -69.630096
644 81.271244 -72.03624
645 81.279504 -66.04464
646 81.284448 -67.644135
647 81.294778 -66.265808
648 81.320819 -69.582993
649 81.351781 -66.568855
650 81.353718 -69.862534
651 81.401093 -69.037949
652 81.40648 -65.975014
653 81.421781 -69.241486
654 81.460458 -66.405823
655 81.495743 -66.038406
656 81.505768 -66.761322
657 81.574316 -66.050484
658 81.600296 -68.04702
659 81.662074 -69.423714
660 81.681947 -65.962448
661 81.721598 -69.044411
662 81.732915 -69.980225
663 81.74923 -69.082756
664 81.76531 -66.011261
665 81.775145 -66.746681
666 81.879173 -66.582611
667 81.953638 -66.03801
668 81.97569 -68.328835
669 81.978051 -68.328995
670 82.070179 -69.104988
671 82.091548 -67.296677
672 82.110799 -66.517159
673 82.133568 -69.200859
674 82.140347 -69.147591
675 82.148558 -69.028488
676 82.166598 -69.050812
677 82.185051 -69.228806
678 82.187213 -71.970413
679 82.194611 -69.431656
680 82.256902 -66.649391
681 82.258115 -66.221855
682 82.267326 -69.355209
683 82.282834 -66.600044
684 82.339233 -66.535522
685 82.349941 -69.471077
686 82.49221 -69.386147
687 82.510236 -65.933891
688 82.555391 -69.353394
689 82.580741 -65.90361
690 82.606141 -66.959465
691 82.612863 -67.102829
692 82.623667 -66.622704
693 82.656436 -69.722893
694 82.657663 -68.410896
695 82.66349 -69.119286
696 82.67394 -69.192993
697 82.684413 -68.60955
698 82.71537 -67.028183
699 82.717271 -68.693733
700 82.751967 -69.18647
701 82.791314 -67.030815
702 82.840846 -70.957069
703 82.869474 -71.389946
704 82.910079 -67.469894
705 82.956683 -71.060585
706 82.982888 -69.023308
707 83.015543 -66.657982
708 83.069673 -66.395912
709 83.086202 -68.846603
710 83.117512 -69.606491
711 83.150667 -69.017799
712 83.15235 -70.806839
713 83.187091 -66.874779
714 83.242337 -67.555969
715 83.25456 -69.374802
716 83.291798 -67.733246
717 83.371852 -67.338905
718 83.400133 -67.500008
719 83.401523 -69.386848
720 83.437062 -67.000183
721 83.475324 -68.799622
722 83.492801 -68.694839
723 83.504781 -70.712234
724 83.535131 -68.717476
725 83.546271 -69.42907
726 83.578245 -69.438858
727 83.579468 -67.108109
728 83.666828 -67.502647
729 83.724042 -69.133911
730 83.728128 -67.71991
731 83.805197 -69.24292
732 83.863142 -69.231224
733 83.899876 -69.118477
734 83.900594 -68.534393
735 83.935222 -66.882256
