RA,DEC,overall_mean,overall_median,overall_mean_mag,overall_median_mag,offset_flag,chi_squared_68,chi2_threshold_68,chi_flag_68,chi_squared_95,chi2_threshold_95,chi_flag_95,chi_squared_997,chi2_threshold_997,chi_flag_997,amplitude_5,lower_percentile_5,upper_percentile_5,mag_amplitude_5,amplitude_1,lower_percentile_1,upper_percentile_1,mag_amplitude_1,largest_amp,best_period,alarm_level_flag,std_amplitude,logT,logL
83.578245,-69.438858,30.060465313028764,30.073,12.70515905245347,12.705000000000002,0.0,22207.841584525988,605.5350023342916,0.0,22207.841584525988,647.616555134617,0.0,22207.841584525988,688.75946436738,0.0,1.1789999999999985,29.453,30.632,0.0419999999999998,1.8740999999999983,29.0662,30.9403,0.0680000000000013,2.5630000000000024,3.858573748011671,1.0,0.3637058066580304,3.9069214410804887,4.286321262881584
83.579468,-67.108109,40.13664098073555,40.098,12.39142732049037,12.392,0.0,42995.692508527325,585.2601756328672,0.0,42995.692508527325,626.6502234984778,0.0,42995.692508527325,667.1458785024212,0.0,2.670499999999997,38.814,41.4845,0.0730000000000004,3.7979999999999943,38.3149,42.1129,0.103200000000001,5.131,818.9165951017322,0.0,0.6320207670638668,3.9450610404637265,4.14642432718842
83.666828,-67.502647,54.31330823117337,54.225,12.062919439579684,12.065,0.0,45125.59707719651,585.2601756328672,0.0,45125.59707719651,626.6502234984778,0.0,45125.59707719651,667.1458785024212,0.0,2.5459999999999994,53.176,55.722,0.0510000000000019,3.6030999999999977,52.7223,56.3254,0.0723000000000002,5.703000000000003,408.6151634777048,0.0,0.878770289792628,3.819058465250743,4.273367983244556
83.724042,-69.133911,6.07769243697479,6.236,14.447855462184874,14.413,0.0,77996.70064848152,609.5894051010607,0.0,77996.70064848152,651.8078441697387,0.0,77996.70064848152,693.0788825963207,0.0,2.1147,4.9308,7.0455,0.3872,2.9839999999999947,4.68272,7.666719999999994,0.5345000000000013,3.505,650.9337013143845,0.0,0.3920773998842578,3.6087626588699298,4.461090404596404
83.728128,-67.71991,14.981440350877191,14.968,13.461338596491233,13.462,0.0,5566.737014269197,584.2463085553765,0.0,5566.737014269197,625.6014649701198,0.0,5566.737014269197,666.0644618717845,0.0,0.8033999999999999,14.5898,15.3932,0.0579999999999998,1.1734099999999987,14.41938,15.59279,0.0853099999999997,1.661999999999999,408.1022041867221,0.0,0.1476518243181906,3.806969490259752,4.019573691882971
83.805197,-69.24292,33.635165261382795,33.657,12.583198988195615,12.582000000000004,0.0,34920.71505613794,607.5622267200927,0.0,34920.71505613794,649.7122804999706,0.0,34920.71505613794,690.9193083715928,0.0,1.5733999999999997,32.7992,34.3726,0.0503999999999997,2.3654399999999995,32.328920000000004,34.69436,0.076159999999998,3.580999999999996,968.0420217873768,0.0,0.4718325974326077,3.857891200651422,4.2826696078031485
83.863142,-69.231224,45.329341176470585,45.342,12.259401680672273,12.259000000000002,0.0,110891.54560687908,609.5894051010607,0.0,110891.54560687908,651.8078441697387,0.0,110891.54560687908,693.0788825963207,0.0,3.411999999999999,43.588,47.0,0.0819999999999971,4.747359999999993,42.86518,47.61254,0.114180000000001,7.085000000000001,121.0465764810422,1.0,0.9502819236284568,3.943464674841481,4.491953222652551
83.899876,-69.118477,25.951094435075884,25.975,12.864951096121416,12.864000000000004,0.0,57867.39186178702,607.5622267200927,0.0,57867.39186178702,649.7122804999706,0.0,57867.39186178702,690.9193083715928,0.0,1.8544000000000016,24.9938,26.8482,0.0777999999999998,2.7337999999999987,24.44528,27.17908,0.1144000000000016,3.596,1156.9793869679177,0.0,0.4530020848615252,3.918547437934947,4.3259806606381845
83.900594,-68.534393,14.040801680672269,11.57,13.623364705882352,13.742,0.0,1701285.0874447862,609.5894051010607,0.0,1701285.0874447862,651.8078441697387,0.0,1701285.0874447862,693.0788825963207,0.0,19.0165,8.3879,27.4044,1.2859000000000016,20.880359999999996,8.21288,29.09324,1.372539999999999,22.229,24.363031905403723,0.0,5.357444418906739,3.776368819875124,4.131470192872771
83.935222,-66.882256,49.78015614035088,49.71,12.157964912280702,12.159000000000002,0.0,94359.57620458269,584.2463085553765,0.0,94359.57620458269,625.6014649701198,0.0,94359.57620458269,666.0644618717845,0.0,5.311799999999991,47.432950000000005,52.74475,0.1156499999999987,7.998109999999997,45.69332,53.69143,0.1748599999999989,9.792000000000002,48.30996037637554,0.0,1.7112160915462151,3.9240485217880896,4.352406119856421
