RA,DEC,ebv_eden,ebv_sf,av_eden,av_sf
14.242771,-72.521553,0.04453,0.40063,0.14117,1.20989
14.255295,-72.14254,0.04326,0.31586,0.13714,0.9539
14.264679,-72.334267,0.04425,0.44058,0.14028,1.33056
14.268831,-72.494507,0.04443,0.40844,0.14084,1.23349
14.270352,-72.241432,0.04378,0.39987,0.13878,1.20761
14.276385,-72.254517,0.04384,0.40841,0.13899,1.23341
14.299565,-72.369591,0.04425,0.44162,0.14027,1.33371
14.311585,-71.504509,0.03811,0.08611,0.12082,0.26005
14.338515,-72.110527,0.04293,0.36372,0.13608,1.09845
14.347047,-72.02668,0.04247,0.30049,0.13462,0.90747
14.37155,-72.161362,0.04313,0.4312,0.13673,1.30222
14.385288,-72.100685,0.04279,0.40172,0.13564,1.21318
14.391292,-72.070297,0.04262,0.36593,0.1351,1.10512
14.408075,-72.058754,0.04253,0.36283,0.13482,1.09575
14.44261,-72.705765,0.04356,0.35584,0.13808,1.07465
14.472133,-72.412888,0.0438,0.44534,0.13884,1.34494
14.472561,-72.083511,0.04254,0.45382,0.13486,1.37055
14.481763,-72.422295,0.04378,0.44715,0.13879,1.35039
14.487046,-73.562134,0.04265,0.08767,0.1352,0.26477
14.506239,-72.594238,0.04366,0.40923,0.1384,1.23587
14.507126,-72.326561,0.04354,0.41999,0.13803,1.26837
14.558781,-71.969238,0.04186,0.28763,0.1327,0.86864
14.596641,-72.359787,0.04329,0.42376,0.13724,1.27974
14.689378,-72.276627,0.04274,0.53558,0.13548,1.61744
14.71651,-72.348312,0.04283,0.40532,0.13577,1.22408
14.722887,-72.360008,0.04283,0.40405,0.13577,1.22023
14.727953,-72.849892,0.04258,0.26732,0.13497,0.80732
14.729435,-72.552078,0.04307,0.35837,0.13654,1.08228
14.733524,-71.976097,0.04156,0.29369,0.13175,0.88694
14.739664,-72.288078,0.04261,0.4953,0.13506,1.49579
14.775518,-71.783722,0.04,0.24128,0.1268,0.72867
14.804474,-72.377014,0.04254,0.37467,0.13487,1.13151
14.821316,-71.810242,0.04017,0.2545,0.12732,0.76858
14.872271,-72.330978,0.04223,0.36715,0.13385,1.10879
14.916991,-72.226891,0.04194,0.74206,0.13295,2.24101
14.925954,-72.163506,0.04184,0.99877,0.13263,3.01629
15.005334,-72.48336,0.04181,0.26143,0.13255,0.78951
15.007992,-72.017464,0.04116,0.30578,0.13048,0.92345
15.026778,-72.428185,0.04169,0.26009,0.13217,0.78547
15.054616,-72.334679,0.04157,0.29976,0.13176,0.90529
15.056647,-72.352814,0.04156,0.2905,0.13174,0.87732
15.098814,-72.631149,0.04148,0.22277,0.1315,0.67277
15.138538,-72.563477,0.04127,0.22171,0.13083,0.66957
15.145673,-72.366623,0.04122,0.25498,0.13067,0.77005
15.154256,-72.690392,0.04134,0.20146,0.13104,0.60841
15.201425,-73.687996,0.04186,0.06153,0.13269,0.18581
15.210984,-72.48114,0.04089,0.2095,0.12963,0.63268
15.267479,-72.440582,0.04069,0.21273,0.12899,0.64244
15.302052,-72.268593,0.04075,0.21494,0.12919,0.64912
15.340866,-71.954842,0.04025,0.30982,0.1276,0.93565
15.444264,-72.437416,0.04,0.21289,0.12679,0.64292
15.444664,-72.562927,0.04001,0.17315,0.12683,0.52291
15.456195,-72.095955,0.04024,0.33822,0.12756,1.02142
15.554542,-72.939476,0.03997,0.14762,0.12672,0.4458
15.61304,-72.279282,0.03989,0.17159,0.12644,0.51819
15.645905,-72.505547,0.03921,0.182,0.12429,0.54964
15.646989,-72.192581,0.03976,0.25474,0.12604,0.76932
15.658785,-72.135178,0.03971,0.39525,0.12587,1.19364
15.664665,-71.832069,0.03906,0.39443,0.12381,1.19119
15.664685,-72.301323,0.03975,0.17145,0.12602,0.51778
15.666333,-72.190926,0.03971,0.26211,0.12587,0.79158
15.705051,-72.156441,0.03959,0.34844,0.12549,1.05227
15.727274,-72.545883,0.03919,0.16671,0.12424,0.50347
15.739019,-73.128609,0.03938,0.11874,0.12483,0.35861
15.752757,-72.503365,0.03904,0.17544,0.12376,0.52984
15.771704,-72.154785,0.03944,0.36643,0.12503,1.10663
15.781884,-72.210083,0.03942,0.26801,0.12496,0.80939
15.787205,-71.930763,0.03932,0.58607,0.12464,1.76994
15.841267,-72.84407,0.03923,0.1299,0.12437,0.3923
15.856523,-72.042595,0.03929,0.74235,0.12455,2.24191
15.898766,-72.283546,0.03912,0.20263,0.12402,0.61194
15.940762,-72.818794,0.03898,0.12869,0.12356,0.38864
15.947997,-72.071434,0.03918,0.63767,0.12421,1.92575
15.954565,-73.712296,0.04005,0.05372,0.12695,0.16222
15.977364,-72.827797,0.03889,0.13172,0.12327,0.3978
15.993419,-71.90551,0.03891,0.4644,0.12334,1.40249
15.995159,-72.385849,0.03878,0.17073,0.12295,0.51562
16.024857,-73.818291,0.04051,0.04726,0.12841,0.14272
16.029622,-72.642746,0.03888,0.15216,0.12324,0.45952
16.050177,-72.978088,0.03864,0.1292,0.12248,0.39019
16.101214,-72.178276,0.03887,0.33203,0.12321,1.00272
16.113623,-72.547836,0.03858,0.16074,0.1223,0.48544
16.180614,-71.649818,0.03787,0.1041,0.12005,0.31439
16.197788,-72.044441,0.03879,0.49241,0.12296,1.48708
16.230061,-72.513527,0.03835,0.16615,0.12156,0.50177
16.24057,-72.385185,0.03843,0.16975,0.12182,0.51265
16.264754,-72.108932,0.03878,0.35053,0.12293,1.0586
16.297483,-72.724457,0.03849,0.12982,0.12201,0.39205
16.299472,-71.72628,0.03815,0.14901,0.12093,0.45002
16.382862,-72.763603,0.03824,0.13516,0.12123,0.40818
16.445653,-71.772797,0.03825,0.17458,0.12126,0.52722
16.457567,-72.369637,0.03828,0.15357,0.12134,0.46377
16.537387,-72.402466,0.03816,0.14604,0.12098,0.44105
16.553088,-72.631592,0.03815,0.16283,0.12095,0.49174
16.562863,-72.560211,0.03805,0.18648,0.12061,0.56316
16.563437,-72.591248,0.03809,0.18056,0.12073,0.5453
16.571746,-72.462975,0.03801,0.16347,0.12048,0.49367
16.671322,-72.896004,0.03742,0.126,0.11861,0.38051
16.791081,-73.498528,0.03798,0.06727,0.1204,0.20315
16.823183,-73.22393,0.03709,0.09256,0.11756,0.27954
16.834747,-72.852707,0.03725,0.12633,0.11809,0.38153
16.846935,-72.442535,0.03793,0.11725,0.12024,0.35408
16.875432,-72.409515,0.03799,0.11752,0.12043,0.35492
16.897636,-72.276939,0.03826,0.13068,0.1213,0.39465
16.956915,-72.214272,0.03828,0.13376,0.12135,0.40397
16.976536,-72.683044,0.03765,0.1243,0.11936,0.37538
16.982439,-72.673393,0.03768,0.1275,0.11945,0.38504
17.022895,-72.14518,0.03833,0.14642,0.12151,0.4422
17.030683,-71.81395,0.03845,0.13254,0.12187,0.40028
17.048329,-72.521729,0.03773,0.1277,0.1196,0.38565
17.051814,-71.691063,0.03845,0.07313,0.12187,0.22086
17.061598,-72.624634,0.03762,0.13743,0.11926,0.41503
17.063286,-72.503166,0.03774,0.11597,0.11963,0.35022
17.121713,-72.45359,0.03779,0.09663,0.11978,0.29182
17.226705,-73.999603,0.04216,0.04476,0.13365,0.13517
17.22848,-72.414505,0.03781,0.0968,0.11984,0.29235
17.314073,-72.275597,0.03797,0.11475,0.12038,0.34654
17.321614,-71.556213,0.03817,0.04435,0.121,0.13395
17.334506,-71.411934,0.03759,0.03733,0.11916,0.11274
17.354747,-72.260063,0.03797,0.11192,0.12036,0.33799
17.629456,-73.466484,0.03653,0.06019,0.11579,0.18178
17.689535,-73.286728,0.03606,0.09279,0.1143,0.28021
17.793628,-73.086525,0.03546,0.1063,0.11242,0.32103
18.18153,-73.294205,0.03583,0.22629,0.11357,0.68338
18.234879,-73.533585,0.03724,0.06245,0.11807,0.18859
18.263969,-73.205635,0.03548,0.27837,0.11246,0.84068
18.325872,-73.363472,0.03605,0.20295,0.11429,0.6129
18.409569,-73.278755,0.03568,0.51347,0.1131,1.55068
18.6571,-71.876244,0.03977,0.05301,0.12607,0.16008
18.69335,-73.35096,0.03589,0.3603,0.11377,1.08812
18.752301,-73.799683,0.04117,0.05216,0.13051,0.15753
18.756336,-73.666168,0.03897,0.05793,0.12355,0.17496
18.861405,-73.337494,0.03578,0.27909,0.11343,0.84286
18.869048,-73.260292,0.03543,0.35961,0.1123,1.08601
19.104533,-73.146667,0.03493,0.16511,0.11072,0.49863
19.219859,-73.216873,0.03516,0.12462,0.11144,0.37634
19.275741,-73.647217,0.03944,0.06407,0.12501,0.19349
19.3377,-73.595901,0.03863,0.06455,0.12244,0.19493
19.345612,-73.35466,0.03586,0.07966,0.11369,0.24056
19.363246,-72.677254,0.03548,0.05096,0.11248,0.1539
19.417553,-73.202896,0.03506,0.08656,0.11113,0.26142
19.435629,-73.481575,0.03726,0.07583,0.11812,0.229
19.470878,-73.62368,0.03928,0.05721,0.12452,0.17277
19.917681,-73.335297,0.03613,0.06452,0.11454,0.19485
19.928189,-73.5327,0.03852,0.04892,0.1221,0.14773
68.923506,-72.361092,0.11071,0.13327,0.35094,0.45445
69.807742,-71.735428,0.12099,0.13375,0.38355,0.45609
70.332642,-70.115997,0.11697,0.1231,0.3708,0.41976
70.510723,-70.524918,0.13381,0.17649,0.42416,0.60185
70.779561,-70.458649,0.13384,0.17438,0.42428,0.59464
70.956826,-69.304626,0.1028,0.15738,0.32588,0.53667
71.327625,-69.27739,0.10437,0.20856,0.33085,0.71119
71.40502,-70.251076,0.1295,0.14163,0.41053,0.48295
71.533928,-68.915482,0.0857,0.27582,0.27167,0.94054
71.888462,-69.242455,0.10343,0.50478,0.32787,1.7213
71.975142,-69.179344,0.10089,0.60869,0.31983,2.07563
72.030049,-69.468002,0.11148,0.44005,0.35338,1.50058
72.255617,-68.976868,0.0939,0.45568,0.29766,1.55388
72.268664,-68.907272,0.09134,0.42021,0.28956,1.43291
72.30168,-69.456535,0.10946,0.83391,0.34697,2.84362
72.306186,-69.787003,0.10901,0.18228,0.34555,0.62156
72.329389,-69.431839,0.10854,0.96017,0.34406,3.27417
72.47404,-69.754547,0.10546,0.21701,0.33431,0.74
72.485769,-69.755859,0.10518,0.21338,0.33343,0.72763
72.513294,-68.259689,0.0644,0.22524,0.20415,0.76805
72.569551,-69.969131,0.10363,0.12751,0.32851,0.43483
72.572915,-69.397163,0.10395,1.32964,0.32953,4.53407
