star_idx,RA,DEC,overall_mean,overall_median,overall_mean_mag,overall_median_mag,offset_flag,chi_squared_68,chi2_threshold_68,chi_flag_68,chi_squared_95,chi2_threshold_95,chi_flag_95,chi_squared_997,chi2_threshold_997,chi_flag_997,amplitude_5,lower_percentile_5,upper_percentile_5,mag_amplitude_5,amplitude_1,lower_percentile_1,upper_percentile_1,mag_amplitude_1,largest_amp,largest_amp_mag,best_period,alarm_level_flag,std_amplitude,logT,logT_std,logL,logL_std,binary,SIMBAD_maintype,SIMBAD_othertypes,teff,teff_std
734,83.900594,-68.534393,13.171398875755903,11.23556085716871,13.668947009084183,13.773437056746387,1,4704083.085447645,2818.373695907662,0,4704083.085447645,2907.8638531984325,0,4704083.085447645,2993.4055449401685,0,14.873063111042352,8.416317863654221,23.289380974696574,1.105185245164046,17.3716525940878,8.139847336301756,25.511499930389554,1.2407487926522016,19.483994441162793,1.493157805193988,24.33542528163399,0,1.735184077965265,3.7366613809621976,0.0159878465372831,3.9031504184243895,0.0092573935061719,True,ClassicalCep,*|cC*|Ce*|MIR|NIR|V*|V*?|X,5453.325,200.7553097056215
735,83.935222,-66.882256,49.91848714816342,49.808,12.15480493807297,12.157,0,180663.57209518718,1240.5557511121133,0,180663.57209518718,1300.3041777560213,0,180663.57209518718,1357.9885360823612,0,4.462849711288072,47.915099999999995,52.37794971128807,0.09650903981949455,6.257308170671962,46.96712129428092,53.224429464952884,0.13619268072442914,7.517743372694149,0.1639999999999997,48.46813985071175,0,1.0705630775837633,4.116697382680379,0.0308430924880299,4.615944211260677,0.0437848928093582,True,EmLine*,*|Em*|NIR,13082.7,929.1182432823068
736,83.955935,-66.700485,17.02279575265562,14.213534422281906,13.420451677125818,13.518280851396986,1,1795429.95997904,1187.047776431628,0,1795429.95997904,1245.5178710653192,0,1795429.95997904,1302.005097280212,0,24.00134338973132,8.657250000000001,32.65859338973132,1.4417191486030152,27.763466153707995,7.84395,35.607416153707995,1.6427691486030138,30.521,1.9969999999999999,30.509912640000934,0,4.844585400499188,3.746978462647184,0.009194725433474,4.212524319247937,0.0071046850395094,True,ClassicalCep,*|cC*|Ce*|IR|MIR|NIR|s*y|V*|V*?,5584.425,118.2314229593808
737,84.059698,-69.191147,28.208771170809026,28.19738320989772,12.7743207222544,12.774727916904748,0,150998.04371614446,3029.6661781956623,0,150998.04371614446,3122.40918620154,0,150998.04371614446,3210.9979836886628,0,1.841126252711689,27.29487374728831,29.136,0.0710368860829913,2.7012959525984783,26.89482404740152,29.59612,0.10384861254652655,3.2527436470309183,0.12512295360997072,389.9265252784239,0,0.11275339713798475,3.858082815446372,0.0259789352643284,3.979935902491928,0.007996211999582,True,Star,*|MIR|NIR,7212.45,431.43944824274007
738,84.073025,-68.963707,41.9786939418272,41.98129046230707,12.34258415098444,12.342602087032535,0,181425.76305751756,3016.5875107391203,0,181425.76305751756,3109.132532255576,0,181425.76305751756,3197.535864754814,0,1.7445551473147844,41.109059130592776,42.85361427790756,0.04560208703253288,2.556498389811587,40.656881610188414,43.21338,0.06660208703253367,3.074472102901275,0.07960208703253357,388.69004128900156,0,0.15925586714392637,4.121252807984237,0.0311070176872442,4.521096191797293,0.045643854393469,True,,,13220.65,946.9496171919604
739,84.080953,-68.224899,5.184948494920833,5.184454666478463,14.613737902636158,14.613166409058593,0,20122.71833573617,2983.3870424103293,0,20122.71833573617,3075.4275350692083,0,20122.71833573617,3163.358247972741,0,0.5360039692598804,4.919605371464754,5.455609340724634,0.11213749472391399,0.7681445564860461,4.80248,5.570624556486046,0.1615868027657541,0.9764236466388665,0.20593428195737573,401.2773727054795,0,0.03542227327332316,3.6554841953973063,0.0164422082803479,4.01559571692718,0.0068682286812201,False,Star,*|NIR,4523.6,171.26161274494643
740,84.223679,-70.35643,16.40229796639992,16.401902128999065,13.362912400940763,13.36265624219331,0,46969.88052399737,2979.362667116417,0,46969.88052399737,3071.3418132545567,0,46969.88052399737,3159.2150596104652,0,0.7490979904901813,16.038130336649495,16.787228327139676,0.049362410722491035,1.0810930738097717,15.868298552970035,16.949391626779807,0.07157507034682631,1.284867939056669,0.08557507034682565,765.7197049266878,0,0.014361685279871833,3.9004258500408744,0.0203238082743771,3.959078830988423,0.0072047037809367,False,Be*_Candidate,*|Be?|MIR|NIR,7951.075,372.0888259206396
741,84.236771,-69.271767,46.776867486336485,46.837669710598135,12.225255766597027,12.223735678367195,0,597674.4698290799,3016.5875107391203,0,597674.4698290799,3109.132532255576,0,597674.4698290799,3197.535864754814,0,3.434848532612932,44.956582906764424,48.39143143937736,0.07997298745651626,4.6120585975386135,44.375674547313295,48.98773314485191,0.10704042715937234,6.005711865053762,0.13980446107417777,1108.335498589548,0,0.029626313599599996,3.9783254859021473,0.0646269905415348,4.437306463643728,0.0359252114856754,False,Star,*|MIR|NIR,9513.175,1415.6474382327683
742,84.26094,-69.643074,47.67201466612473,47.685038550492735,12.204653755376453,12.20427877038973,0,610302.6925872974,3022.623840071384,0,610302.6925872974,3115.260293505992,0,610302.6925872974,3203.7492753629867,0,3.377986782963262,45.940226441084974,49.318213224048236,0.0771636752385394,4.847085692455131,45.2157267811413,50.06281247359643,0.110516426196277,6.146923442084969,0.14015628418659176,86.9177807423259,1,0.6002674507032002,3.9576288336608574,0.0558940337531124,4.388450598529008,0.0470151990649204,True,Star,*|NIR,9070.45,1167.3738893345185
743,84.266308,-69.167656,20.064478187505898,20.07804532133643,13.144769489335632,13.143292634693838,0,312504.1507302192,3035.7024286303667,0,312504.1507302192,3128.5366700128084,0,312504.1507302192,3217.2109309461857,0,2.506195401368739,18.762939317994277,21.269134719363016,0.13616292334093139,3.4799307402912234,18.298069259708775,21.778,0.1886234218517,4.592710168329866,0.24966921284213583,313.0876756859945,0,0.2123053391083656,3.916168273090051,0.0509397840803592,4.080632516863323,0.0165586614325548,True,Star,*|MIR|NIR,8244.575,967.032481034117
744,84.289308,-69.324539,43.010610366546935,43.03274631775704,12.31631155229399,12.315682923676942,0,344610.48913916317,3009.545080266672,0,344610.48913916317,3101.983314822598,0,344610.48913916317,3190.2866140860087,0,2.695243566257787,41.63823023887458,44.333473805132364,0.06799999999999962,3.818129359054467,41.0827905310797,44.90091989013417,0.09684135563525054,4.6360925823031565,0.11618338344765178,1159.0231776530352,0,0.32407145639721335,3.9707825795224014,0.0640424232964062,4.419385376468112,0.0341779031405818,False,Star,*|NIR,9349.375,1378.688093578457
745,84.311686,-70.506462,5.793606888958096,5.792,14.493178054052656,14.493015546048218,0,27049.868457005872,2995.4600692140325,0,27049.868457005872,3087.6843521110286,0,27049.868457005872,3175.78723119576,0,0.579950510632762,5.502371148891001,6.082321659523763,0.10898445395178413,0.8029664089596231,5.38742764288995,6.190394051849573,0.15051614892239407,0.9820958149141914,0.18418321750517386,1157.9557534381167,0,0.010509577932865888,3.63275077202148,0.0102532830647711,4.175495464415383,0.0071572565524401,False,,,4292.9,101.35131967567072
746,84.382455,-70.299202,5.006047114336388,5.0058348951968785,14.652138235754368,14.651710132773928,0,37338.73184051126,3003.5086715194448,0,37338.73184051126,3095.8552743137648,0,37338.73184051126,3184.072737089348,0,0.6343942919326997,4.693382689285587,5.327776981218287,0.1377762704075387,0.895484771886915,4.556331353587363,5.451816125474278,0.19513376191815368,1.1395582960646191,0.24895500187079378,84.67296328110834,0,0.11945412774774081,3.658907694893854,0.011284167359418,4.084037697784697,0.0072182613588345,False,Star,*|NIR,4559.4,118.46577564849687
747,84.392608,-69.45929,87.43395614724719,87.43,11.545916361934601,11.546000000000001,0,298368.36150358006,2408.721564570627,0,298368.36150358006,2491.5370296874503,0,298368.36150358006,2570.826364210488,0,3.0338904453409157,85.90250335278245,88.93639379812336,0.038000000000000256,4.453137010385603,85.1653918675118,89.6185288778974,0.05500000000000327,5.372403208755216,0.06749065681734123,1158.811046641641,1,0.12390571580848331,3.906080371439764,0.0331299258799003,3.956316598603934,0.007727554521298,False,,,8055.275,614.4924119751196
748,84.43914,-69.309685,29.656458834083693,29.672,12.71991013270995,12.7190189525966,0,154486.7385007131,3011.5572083507695,0,154486.7385007131,3104.025966280512,0,154486.7385007131,3192.357858466946,0,1.6198374685913528,28.8301900372061,30.450027505797454,0.059484845719447677,2.2971417582130904,28.441568889738672,30.738710647951763,0.08499999999999908,2.850494185635398,0.10498318646181382,246.67168071281202,0,0.1521494083502869,3.899511354156286,0.0663170611123332,4.108173729538669,0.0292546898923819,True,,,7934.35,1211.5806112265084
749,84.521252,-69.296501,23.58924029103434,23.597,12.968522527819228,12.968000000000002,0,168307.20497191418,3031.678265707427,0,168307.20497191418,3124.4516949889967,0,168307.20497191418,3213.0689897960237,0,1.6712050556922122,22.732194944307786,24.403399999999998,0.07751663823722588,2.3461899951379124,22.41006619339713,24.756256188535044,0.10837496168887384,2.9733982396300043,0.13663021268415676,509.4996204026626,0,0.08317214941512713,3.907289063860527,0.0402283377030823,4.053082551854409,0.0211656138044805,False,,,8077.725,748.2329679818979
750,84.576233,-69.067322,90.4306108449841,90.43863482341169,11.509407282241622,11.509277922897125,0,439977.421318619,3009.545080266672,0,439977.421318619,3101.983314822598,0,439977.421318619,3190.2866140860087,0,4.514752368244061,88.17362486380006,92.68837723204412,0.054351265208023136,6.270864757919682,87.43184207913049,93.70270683705017,0.07511649472170312,8.111021185170358,0.09737471431104083,331.76704617999815,0,0.2507433211549988,4.018147919377922,0.0148603301745377,4.442715353114008,0.0187581504846583,False,Star,*|IR,10426.725,356.7730712581879
751,84.611746,-69.764206,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.931668864169553,0.0452014559027432,4.891609871490037,0.0225456619424362,False,,,8544.15,889.2768283836031
752,84.661939,-69.13736,25.537309236539304,25.54376426089047,12.882650148896037,12.881890380385354,0,185290.22375657357,3020.611734352529,0,185290.22375657357,3113.217720694251,0,185290.22375657357,3201.678162328777,0,2.6214539342608845,24.209476714229872,26.830930648490757,0.11161459587599332,3.801856541766899,23.606417423980105,27.408273965747004,0.16191923677850362,4.574955803509713,0.19500000000000028,99.94733627039722,0,0.48840472805283486,3.8112917508355086,0.0196193005792265,4.326432107155672,0.007992097824988,True,BlueSG,*|IR|MIR|NIR|s*b,6475.775,292.5438417998232
753,84.677308,-69.017288,34.691669576912275,34.68792571774421,12.549596060497821,12.549611691400722,0,98728.34517401872,3012.563270864201,0,98728.34517401872,3105.0472866341693,0,98728.34517401872,3193.393471680147,0,1.594664833217358,33.90337753312152,35.49804236633888,0.04998336639216561,2.2259203118551696,33.57742454278374,35.80334485463891,0.06920004659006551,2.8037425981952424,0.08799999999999919,332.02464300184,0,0.06079112664954528,3.975022597698362,0.0732097777972523,4.0362592377370365,0.0500310190720326,True,Star,*|MIR|NIR,9441.1,1591.5026830011943
754,84.679486,-69.025673,20.495812269784764,20.496632272652793,13.121151901933075,13.120873342652315,0,71845.38755876382,3016.5875107391203,0,71845.38755876382,3109.132532255576,0,71845.38755876382,3197.535864754814,0,1.413511408240396,19.794034080701135,21.20754548894153,0.07465476673211491,2.0315031771004257,19.5058956989967,21.537398876097125,0.10716593510393935,2.5660146122169607,0.13607977702678475,1373.1433859480676,0,0.018642513542655337,3.915600313723979,0.0280258447655075,3.9988298410333503,0.0164640817084393,True,BlueSG,*|IR|MIR|NIR|s*b,8233.8,531.3426954424046
755,84.690958,-66.614372,8.80449264021797,8.797057872636547,14.038787227578064,14.039000000000001,0,22825.888877373312,1258.725745897677,0,22825.888877373312,1318.901970835884,0,22825.888877373312,1376.9869592885677,0,0.8785583495957638,8.359865325043279,9.238423674639042,0.10881794993824911,1.2013702789790006,8.216988631211331,9.418358910190332,0.14863999999999855,1.4916927751592226,0.18399999999999928,1167.324480960419,0,0.03835123689396236,3.6527900776448616,0.0149734680821262,4.202762156206403,0.0072268862935919,True,Star,*|MIR|NIR,4495.625,154.99873991423286
756,84.721164,-70.717834,40.286807132800654,40.299541433742704,12.387245568130828,12.386849469631205,0,213289.5866351981,2966.283332805347,0,213289.5866351981,3058.0628143522936,0,213289.5866351981,3145.749024378582,0,1.7852649679911892,39.3809895690254,41.16625453701659,0.04800000000000182,2.481199020451143,39.06899963120942,41.550198651660565,0.0671697420645927,2.983330780854125,0.08042204090347127,258.6109408594848,0,0.21569611639104658,3.842122257348406,0.0222501651946478,4.366498018916729,0.0083551266184064,False,Star,*|NIR,6952.2,356.1813582993922
757,84.738261,-68.948074,31.22609170972909,31.23,12.66396467090576,12.663838142179504,0,245712.09124123864,3021.6177877188525,0,245712.09124123864,3114.2390088825937,0,245712.09124123864,3202.7137218227845,0,2.002688386330277,30.225366665664744,32.22805505199502,0.06967161347799511,2.902576057742575,29.789943038214073,32.69251909595665,0.10091517168983621,3.5861670304749182,0.12460023359931682,76.04987187175334,0,0.2502225874224689,3.93624599582787,0.0260175424447174,4.1735793989082195,0.0208244300900153,True,BlueSG,*|Em*|IR|MIR|NIR|s*b,8634.675,517.2827025669812
758,84.76943,-67.879074,21.107095123215966,21.121942633625466,13.089166561270046,13.088085322144686,0,125253.60325334336,4245.355943866229,0,125253.60325334336,4354.93559542711,0,125253.60325334336,4459.296709598466,0,1.2488641131865421,20.452929262938557,21.7017933761251,0.06405322144963499,1.8273554207433769,20.17320983250735,22.000565253250727,0.09384907286698585,2.1564863935663254,0.1109999999999971,499.2362102803404,0,0.10685200762753216,3.92540105601889,0.0343952318090702,4.037585625105132,0.0211706336261385,False,Star,*|MIR|NIR,8421.725,666.9833389036041
