RA,Catalog #,Name,DEC,V_mag,Simbad Spec Class,KFN Spec,Log(Teff),Log(L/Lsun),YSG?,Variability Class,Simbad Types,Date_Mike,Halpha,
05:30:52.311,99,J05305231-6649594,-66:49:59.43,12.17,,B,,,,,,"mar18,",abs+emi,
05:28:55.946,100,J05285595-6859004,-68:59:00.45,12.17,,B,,,,,,"mar18,",abs,
05:40:17.977,101,J05401796-6928067,-69:28:06.82,11.6,,B,,,,,,"mar18,",abs,
04:55:52.810,102,J04555280-6942224,-69:42:22.50,12.2,,B,,,,,,"mar18,",abs,
05:13:15.992,103,J05131599-6717472,-67:17:47.34,11.76,,B,,,,,,"mar18,",abs,
05:17:32.839,104,J05173283-6945074,-69:45:07.51,11.84,,B,,,,,,"mar18,",abs,
05:34:24.224,105,J05342422-6900310,-69:00:31.12,12.25,,B,,,,,,"mar18,",abs,
05:30:25.478,106,J05302547-6657340,-66:57:34.08,12.29,,B,,,,,,"mar18,",abs,
05:33:44.901,107,J05334489-6700006,-67:00:00.73,12.5,,B,,,,,,"mar18,",abs,
04:52:53.379,108,J04525337-6705425,-67:05:42.58,12.6,,B,,,,,,"mar18,",abs,
